=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:19:44 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
I frame index 375, position 68493128
I frame index 376, position 68676944
I frame index 377, position 68857568
I frame index 395, position 72042636
I frame index 396, position 72242268
I frame index 397, position 72443448
I frame index 398, position 72644208
I frame index 402, position 73438464
I frame index 404, position 73829244
I frame index 405, position 74024060
I frame index 406, position 74215796
I frame index 407, position 74405376
I frame index 408, position 74596712
I frame index 409, position 74784576
I frame index 410, position 74975008
I frame index 411, position 75162456
I frame index 417, position 76303520
I frame index 418, position 76500024
I frame index 419, position 76689728
I frame index 420, position 76879444
I frame index 430, position 78651880
I frame index 431, position 78851428
I frame index 432, position 79046532
I frame index 433, position 79242364
I frame index 434, position 79439112
I frame index 435, position 79640072
I frame index 445, position 81569240
I frame index 446, position 81777648
I frame index 447, position 81987008
I frame index 448, position 82192872
I frame index 452, position 82990468
I frame index 453, position 83195720
I frame index 454, position 83398632
I frame index 455, position 83603236
I frame index 456, position 83803148
I frame index 457, position 84005180
I frame index 462, position 84902704
I frame index 463, position 85104392
I frame index 464, position 85298268
I frame index 465, position 85494680
I frame index 489, position 89310332
I frame index 513, position 93213224
I frame index 532, position 96492388
I frame index 533, position 96689444
I frame index 534, position 96879008
I frame index 535, position 97068576
I frame index 536, position 97257148
I frame index 537, position 97446592
I frame index 538, position 97633204
I frame index 558, position 101112080
I frame index 568, position 102923808
I frame index 569, position 103124564
I frame index 570, position 103322472
I frame index 575, position 104200676
I frame index 576, position 104400552
I frame index 577, position 104601244
I frame index 579, position 105004884
I frame index 586, position 106351744
I frame index 587, position 106559312
I frame index 588, position 106763528
I frame index 607, position 110275092
I frame index 608, position 110475480
I frame index 609, position 110670776
I frame index 610, position 110867720
I frame index 611, position 111065012
I frame index 612, position 111264520
I frame index 614, position 111661904
I frame index 615, position 111866088
I frame index 616, position 112072768
I frame index 617, position 112281280
I frame index 618, position 112492648
0 , 0, 196397
button 1 has been pressed!
Video Play
1 , 1, 97074
2 , 1, 96649
3 , 1, 96612
4 , 1, 97292
5 , 1, 96799
6 , 0, 220802
7 , 0, 222598
8 , 0, 197778
9 , 0, 222483
10 , 0, 201700
11 , 0, 222112
12 , 0, 197545
13 , 1, 96564
14 , 1, 96669
15 , 1, 96602
16 , 0, 197919
17 , 0, 222056
18 , 0, 224555
19 , 0, 221199
20 , 0, 223701
21 , 0, 226105
22 , 0, 223074
23 , 1, 96017
24 , 1, 96059
25 , 1, 95887
26 , 1, 95834
27 , 1, 95167
28 , 1, 95609
29 , 1, 96344
30 , 1, 96144
31 , 1, 95924
32 , 1, 95989
33 , 1, 96254
34 , 1, 96034
35 , 1, 96064
36 , 1, 96404
37 , 1, 95914
38 , 1, 96349
39 , 1, 95992
40 , 1, 95969
41 , 1, 96124
42 , 1, 96472
43 , 1, 96014
44 , 0, 222794
45 , 0, 225778
46 , 0, 223039
47 , 0, 221715
48 , 1, 95999
49 , 1, 96384
50 , 1, 96024
51 , 1, 96124
52 , 1, 96167
53 , 1, 96244
54 , 1, 96194
55 , 1, 96144
56 , 1, 96509
57 , 0, 222476
58 , 1, 96486
59 , 1, 96039
60 , 1, 95984
61 , 1, 97194
62 , 1, 96744
63 , 1, 97254
64 , 1, 97104
65 , 1, 96614
66 , 1, 96337
67 , 1, 95804
68 , 1, 96714
69 , 1, 96104
70 , 1, 96652
71 , 1, 96394
72 , 1, 96859
73 , 1, 96702
74 , 1, 96612
75 , 1, 96505
76 , 0, 222347
77 , 0, 224138
78 , 0, 219637
79 , 0, 223345
80 , 0, 225153
81 , 1, 95864
82 , 1, 95854
83 , 1, 95959
84 , 1, 96134
85 , 1, 95849
86 , 1, 95904
87 , 1, 96044
88 , 1, 95811
89 , 1, 95959
90 , 1, 95872
91 , 1, 95952
92 , 1, 95839
93 , 1, 95962
94 , 0, 221451
95 , 0, 223913
96 , 0, 226003
97 , 0, 221505
98 , 0, 224297
99 , 1, 96128
100 , 1, 95864
101 , 1, 96294
102 , 1, 96079
103 , 1, 95929
104 , 1, 96775
105 , 1, 96119
106 , 1, 96249
107 , 1, 96067
108 , 1, 95964
109 , 1, 96164
110 , 1, 96309
111 , 1, 95779
112 , 1, 96259
113 , 1, 96224
114 , 1, 96389
115 , 1, 95969
116 , 1, 95962
117 , 1, 95840
118 , 1, 95959
119 , 1, 95943
120 , 1, 96419
121 , 1, 96139
122 , 0, 220853
123 , 0, 221385
124 , 0, 221608
125 , 0, 221216
126 , 1, 96049
127 , 1, 96039
128 , 1, 96039
129 , 1, 95974
130 , 0, 221608
131 , 0, 222812
132 , 0, 220309
133 , 1, 95969
134 , 1, 96109
135 , 1, 95974
136 , 1, 96344
137 , 0, 221984
138 , 0, 224681
139 , 0, 224814
140 , 0, 222797
141 , 0, 220368
142 , 0, 222463
143 , 0, 225149
144 , 0, 222231
145 , 0, 225133
146 , 0, 220097
147 , 0, 221617
148 , 0, 222608
149 , 0, 222871
150 , 0, 223004
151 , 0, 222705
152 , 0, 223278
153 , 0, 223085
154 , 0, 224029
155 , 0, 222479
156 , 1, 95399
157 , 1, 95359
158 , 1, 95494
159 , 1, 95214
160 , 1, 95679
161 , 0, 222950
162 , 0, 220414
163 , 0, 221509
164 , 0, 220592
165 , 0, 221075
166 , 0, 222934
167 , 0, 219369
168 , 0, 221122
169 , 0, 221919
170 , 0, 223297
171 , 0, 224672
172 , 0, 221690
173 , 0, 221033
174 , 0, 223724
175 , 0, 222126
176 , 0, 223153
177 , 0, 223210
178 , 0, 223633
179 , 0, 222343
180 , 0, 222878
181 , 0, 225079
182 , 1, 96586
183 , 1, 96618
184 , 1, 96389
185 , 0, 213050
186 , 0, 223694
187 , 0, 221752
188 , 0, 220683
189 , 0, 204199
190 , 0, 222997
191 , 0, 223077
192 , 0, 226004
193 , 0, 216394
194 , 0, 220976
195 , 0, 207565
196 , 1, 96439
197 , 1, 96459
198 , 1, 96574
199 , 1, 96759
200 , 1, 96342
201 , 1, 96462
202 , 1, 96994
203 , 1, 96312
204 , 1, 96998
205 , 1, 97229
206 , 1, 96209
207 , 1, 95929
208 , 1, 96202
209 , 1, 96577
210 , 0, 223213
211 , 0, 222755
212 , 0, 223752
213 , 0, 221592
214 , 0, 223609
215 , 0, 222736
216 , 0, 223961
217 , 0, 223123
218 , 0, 223695
219 , 0, 221359
220 , 0, 220690
221 , 1, 96454
222 , 1, 96374
223 , 1, 96654
224 , 1, 96851
225 , 1, 96434
226 , 0, 221585
227 , 1, 96384
228 , 1, 96777
229 , 0, 197498
230 , 1, 96692
231 , 0, 221456
232 , 1, 96703
233 , 1, 96191
234 , 1, 96482
235 , 1, 96349
236 , 1, 96428
237 , 1, 96834
238 , 1, 96624
239 , 1, 96784
240 , 1, 96152
241 , 1, 96967
242 , 1, 96339
243 , 1, 96471
244 , 1, 96204
245 , 1, 96462
246 , 1, 96682
247 , 1, 96919
248 , 1, 96384
249 , 1, 96067
250 , 1, 96684
251 , 1, 96867
252 , 1, 96524
253 , 1, 96554
254 , 1, 97014
255 , 0, 198632
256 , 1, 96194
257 , 1, 96749
258 , 1, 96214
259 , 1, 96565
260 , 1, 97023
261 , 1, 97082
262 , 1, 97079
263 , 1, 97099
264 , 1, 96244
265 , 1, 96854
266 , 1, 96579
267 , 1, 97059
268 , 1, 96518
269 , 1, 96669
270 , 1, 96559
271 , 1, 96699
272 , 1, 97044
273 , 1, 97749
274 , 1, 96954
275 , 1, 96302
276 , 1, 97174
277 , 1, 96667
278 , 0, 222360
279 , 1, 96359
280 , 1, 98204
281 , 1, 96922
282 , 1, 96899
283 , 1, 96422
284 , 1, 97182
285 , 1, 96749
286 , 0, 222002
287 , 0, 216634
288 , 0, 216298
289 , 0, 222209
290 , 0, 222771
291 , 0, 225484
292 , 0, 224098
293 , 0, 224935
294 , 0, 211684
295 , 0, 203451
296 , 1, 96289
297 , 1, 96232
298 , 1, 96114
299 , 1, 96254
300 , 1, 96543
301 , 1, 96239
302 , 1, 96259
303 , 1, 96599
304 , 1, 96329
305 , 1, 96964
306 , 1, 96239
307 , 1, 96277
308 , 1, 96019
309 , 1, 96599
310 , 0, 199287
311 , 0, 220958
312 , 0, 196393
313 , 0, 222764
314 , 0, 225604
315 , 1, 96259
316 , 1, 96289
317 , 1, 95984
318 , 0, 205804
319 , 0, 220038
320 , 0, 226258
321 , 0, 222565
322 , 0, 222750
323 , 0, 226449
324 , 0, 220912
325 , 0, 221583
326 , 0, 222672
327 , 0, 221143
328 , 0, 210156
329 , 0, 221628
330 , 1, 96147
331 , 0, 198661
332 , 1, 96254
333 , 1, 96452
334 , 0, 216696
335 , 0, 223658
336 , 1, 96314
337 , 1, 96274
338 , 1, 96569
339 , 0, 223273
340 , 0, 223607
341 , 0, 223893
342 , 0, 221548
343 , 0, 208872
344 , 1, 96234
345 , 1, 96119
346 , 1, 96129
347 , 1, 96287
348 , 1, 96484
349 , 0, 206495
350 , 0, 197566
351 , 0, 223083
352 , 0, 221720
353 , 0, 225886
354 , 0, 224347
355 , 0, 225683
356 , 0, 227193
357 , 0, 221265
358 , 1, 96169
359 , 0, 219551
360 , 0, 222235
361 , 0, 221431
362 , 0, 227775
363 , 0, 222992
364 , 0, 222728
365 , 0, 223281
366 , 1, 96534
367 , 0, 223370
368 , 1, 96119
369 , 1, 96674
370 , 1, 96507
371 , 1, 95964
372 , 0, 222857
373 , 0, 221720
374 , 0, 219187
375 , 0, 219414
376 , 0, 223456
377 , 0, 221649
378 , 1, 96044
379 , 1, 95797
380 , 1, 96359
381 , 1, 96024
382 , 1, 96604
383 , 1, 96374
384 , 1, 96319
385 , 1, 95959
386 , 1, 96399
387 , 1, 96159
388 , 1, 96614
389 , 1, 95869
390 , 1, 96264
391 , 1, 96778
392 , 1, 96586
393 , 1, 96689
394 , 1, 96320
395 , 0, 220036
396 , 0, 196097
397 , 0, 223333
398 , 0, 224172
399 , 1, 96612
400 , 1, 96883
401 , 1, 96414
402 , 0, 225559
403 , 1, 96489
404 , 0, 225127
405 , 0, 222607
406 , 0, 221665
407 , 0, 226458
408 , 0, 224060
409 , 0, 220139
410 , 0, 223402
411 , 0, 226401
412 , 1, 96649
413 , 1, 96589
414 , 1, 96764
415 , 1, 96251
416 , 1, 96349
417 , 0, 225043
418 , 0, 222180
419 , 0, 222243
420 , 0, 221935
421 , 1, 96314
422 , 1, 96315
423 , 1, 96384
424 , 1, 96929
425 , 1, 96639
426 , 1, 96669
427 , 1, 96742
428 , 1, 97069
429 , 1, 96974
430 , 0, 222570
431 , 0, 223829
432 , 0, 222958
433 , 0, 224148
434 , 0, 223668
435 , 0, 200628
436 , 1, 96529
437 , 1, 96654
438 , 1, 96588
439 , 1, 97079
440 , 1, 96899
441 , 1, 96762
442 , 1, 96694
443 , 1, 96867
444 , 1, 97314
445 , 0, 201952
446 , 0, 222581
447 , 0, 195028
448 , 0, 201808
449 , 1, 96184
450 , 1, 96164
451 , 1, 96465
452 , 0, 195216
453 , 0, 225250
454 , 0, 224144
455 , 0, 221442
456 , 0, 225257
457 , 0, 221521
458 , 1, 95968
459 , 1, 96169
460 , 1, 96062
461 , 1, 96269
462 , 0, 222530
463 , 0, 222243
464 , 0, 222216
465 , 0, 223183
466 , 1, 96299
467 , 1, 96339
468 , 1, 96150
469 , 1, 96129
470 , 1, 96512
471 , 1, 96004
472 , 1, 96602
473 , 1, 96459
474 , 1, 97119
475 , 1, 96037
476 , 1, 96324
477 , 1, 96434
478 , 1, 96697
479 , 1, 96654
480 , 1, 95754
481 , 1, 96717
482 , 1, 96459
483 , 1, 95814
484 , 1, 95654
485 , 1, 96443
486 , 1, 96304
487 , 1, 96062
488 , 1, 96369
489 , 0, 224580
490 , 1, 96091
491 , 1, 96394
492 , 1, 95977
493 , 1, 96616
494 , 1, 96074
495 , 1, 96122
496 , 1, 95779
497 , 1, 96074
498 , 1, 96474
499 , 1, 96819
500 , 1, 95964
501 , 1, 96799
502 , 1, 97071
503 , 1, 96064
504 , 1, 96800
505 , 1, 96637
506 , 1, 97296
507 , 1, 96852
508 , 1, 96614
509 , 1, 96693
510 , 1, 96439
511 , 1, 96834
512 , 1, 96549
513 , 0, 194290
514 , 1, 96592
515 , 1, 97124
516 , 1, 96199
517 , 1, 96787
518 , 1, 96347
519 , 1, 96179
520 , 1, 96384
521 , 1, 96494
522 , 1, 96369
523 , 1, 96309
524 , 1, 96206
525 , 1, 96234
526 , 1, 96237
527 , 1, 96102
528 , 1, 95539
529 , 1, 96602
530 , 1, 96354
531 , 1, 97012
532 , 0, 225050
533 , 0, 219836
534 , 0, 221178
535 , 0, 224223
536 , 0, 223504
537 , 0, 224285
538 , 0, 226568
539 , 1, 96434
540 , 1, 96544
541 , 1, 96529
542 , 1, 96289
543 , 1, 96044
544 , 1, 96165
545 , 1, 96219
546 , 1, 96384
547 , 1, 97332
548 , 1, 96687
549 , 1, 96234
550 , 1, 96635
551 , 1, 96702
552 , 1, 96355
553 , 1, 96534
554 , 1, 96189
555 , 1, 96344
556 , 1, 96449
557 , 1, 96829
558 , 0, 210792
559 , 1, 96244
560 , 1, 96459
561 , 1, 96359
562 , 1, 96484
563 , 1, 96258
564 , 1, 96875
565 , 1, 96614
566 , 1, 96734
567 , 1, 96819
568 , 0, 220414
569 , 0, 224113
570 , 0, 224522
571 , 1, 96284
572 , 1, 96384
573 , 1, 96249
574 , 1, 96804
575 , 0, 224132
576 , 0, 223079
577 , 0, 223098
578 , 1, 96954
579 , 0, 226731
580 , 1, 96699
581 , 1, 96849
582 , 1, 96534
583 , 1, 96634
584 , 1, 97298
585 , 1, 97004
586 , 0, 198448
587 , 0, 209998
588 , 0, 202250
589 , 1, 96769
590 , 1, 96772
591 , 1, 96204
592 , 1, 97039
593 , 1, 96552
594 , 1, 96609
595 , 1, 97164
596 , 1, 96364
597 , 1, 96394
598 , 1, 96792
599 , 1, 96811
600 , 1, 96539
601 , 1, 96744
602 , 1, 96322
603 , 1, 96679
604 , 1, 96615
605 , 1, 96434
606 , 1, 96639
607 , 0, 221559
608 , 0, 222111
609 , 0, 222859
610 , 0, 224055
611 , 0, 210660
612 , 0, 220430
613 , 1, 96139
614 , 0, 203504
615 , 0, 198673
616 , 0, 222223
617 , 0, 223283
618 , 0, 199347
619 , 1, 96099
620 , 1, 96219
