=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:24:12 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
I frame index 375, position 68493128
I frame index 376, position 68676944
I frame index 377, position 68857568
I frame index 395, position 72042636
I frame index 396, position 72242268
I frame index 397, position 72443448
I frame index 398, position 72644208
I frame index 402, position 73438464
I frame index 404, position 73829244
I frame index 405, position 74024060
I frame index 406, position 74215796
I frame index 407, position 74405376
I frame index 408, position 74596712
I frame index 409, position 74784576
I frame index 410, position 74975008
I frame index 411, position 75162456
I frame index 417, position 76303520
I frame index 418, position 76500024
I frame index 419, position 76689728
I frame index 420, position 76879444
I frame index 430, position 78651880
I frame index 431, position 78851428
I frame index 432, position 79046532
I frame index 433, position 79242364
I frame index 434, position 79439112
I frame index 435, position 79640072
I frame index 445, position 81569240
I frame index 446, position 81777648
I frame index 447, position 81987008
I frame index 448, position 82192872
I frame index 452, position 82990468
I frame index 453, position 83195720
I frame index 454, position 83398632
I frame index 455, position 83603236
I frame index 456, position 83803148
I frame index 457, position 84005180
I frame index 462, position 84902704
I frame index 463, position 85104392
I frame index 464, position 85298268
I frame index 465, position 85494680
I frame index 489, position 89310332
I frame index 513, position 93213224
I frame index 532, position 96492388
I frame index 533, position 96689444
I frame index 534, position 96879008
I frame index 535, position 97068576
I frame index 536, position 97257148
I frame index 537, position 97446592
I frame index 538, position 97633204
I frame index 558, position 101112080
I frame index 568, position 102923808
I frame index 569, position 103124564
I frame index 570, position 103322472
I frame index 575, position 104200676
I frame index 576, position 104400552
I frame index 577, position 104601244
I frame index 579, position 105004884
I frame index 586, position 106351744
I frame index 587, position 106559312
I frame index 588, position 106763528
I frame index 607, position 110275092
I frame index 608, position 110475480
I frame index 609, position 110670776
I frame index 610, position 110867720
I frame index 611, position 111065012
I frame index 612, position 111264520
I frame index 614, position 111661904
I frame index 615, position 111866088
I frame index 616, position 112072768
I frame index 617, position 112281280
I frame index 618, position 112492648
0 , 0, 1389
button 1 has been pressed!
Video Play
1 , 1, 1209
button 1 has been pressed!
Video Paused
button 1 has been pressed!
Video Play
2 , 1, 1237
3 , 1, 1112
4 , 1, 1291
5 , 1, 1178
6 , 0, 1237
7 , 0, 1179
8 , 0, 1269
9 , 0, 1168
10 , 0, 1181
11 , 0, 1194
12 , 0, 1283
13 , 1, 1300
14 , 1, 1119
15 , 1, 1044
16 , 0, 1197
17 , 0, 1080
18 , 0, 1094
19 , 0, 1258
20 , 0, 985
21 , 0, 1152
22 , 0, 1123
23 , 1, 1188
24 , 1, 1144
25 , 1, 1120
26 , 1, 1164
27 , 1, 1175
28 , 1, 1091
29 , 1, 1076
30 , 1, 1156
31 , 1, 1103
32 , 1, 1074
33 , 1, 1197
34 , 1, 1119
35 , 1, 1118
36 , 1, 1092
37 , 1, 1119
38 , 1, 1280
39 , 1, 1143
40 , 1, 1074
41 , 1, 1190
42 , 1, 1215
43 , 1, 1217
44 , 0, 1042
45 , 0, 1098
46 , 0, 1128
47 , 0, 1250
48 , 1, 1347
49 , 1, 1147
50 , 1, 1061
51 , 1, 1106
52 , 1, 1249
53 , 1, 1146
54 , 1, 1039
55 , 1, 1164
56 , 1, 1146
57 , 0, 1156
58 , 1, 1129
59 , 1, 1093
60 , 1, 1052
61 , 1, 1145
62 , 1, 1233
63 , 1, 1364
64 , 1, 1114
65 , 1, 1175
66 , 1, 1070
67 , 1, 1075
68 , 1, 1347
69 , 1, 1149
70 , 1, 1214
71 , 1, 1004
72 , 1, 1072
73 , 1, 1149
74 , 1, 1197
75 , 1, 1129
76 , 0, 1074
77 , 0, 1311
78 , 0, 1253
79 , 0, 1216
80 , 0, 1107
81 , 1, 1129
82 , 1, 1164
83 , 1, 1147
84 , 1, 1298
85 , 1, 1303
86 , 1, 1077
87 , 1, 1161
88 , 1, 1101
89 , 1, 1142
90 , 1, 1232
91 , 1, 1303
92 , 1, 1089
93 , 1, 1181
94 , 0, 1042
95 , 0, 921
96 , 0, 1226
97 , 0, 1160
98 , 0, 1232
99 , 1, 1289
100 , 1, 1201
101 , 1, 1123
102 , 1, 1104
103 , 1, 1122
104 , 1, 1261
105 , 1, 1041
106 , 1, 1136
107 , 1, 1024
108 , 1, 1221
109 , 1, 1200
110 , 1, 1311
111 , 1, 1276
112 , 1, 1196
113 , 1, 1298
114 , 1, 1222
115 , 1, 1369
116 , 1, 1144
117 , 1, 1021
118 , 1, 1211
119 , 1, 1098
120 , 1, 1166
121 , 1, 1344
122 , 0, 981
123 , 0, 1047
124 , 0, 1252
125 , 0, 1158
126 , 1, 1271
127 , 1, 1141
128 , 1, 1183
129 , 1, 1203
130 , 0, 926
131 , 0, 1196
132 , 0, 1133
133 , 1, 1296
134 , 1, 1105
135 , 1, 1152
136 , 1, 1075
137 , 0, 1136
138 , 0, 1219
139 , 0, 1287
140 , 0, 1217
141 , 0, 1133
142 , 0, 1170
143 , 0, 1292
144 , 0, 1198
145 , 0, 1066
146 , 0, 1259
147 , 0, 1149
148 , 0, 1169
149 , 0, 1120
150 , 0, 1374
151 , 0, 1103
152 , 0, 1160
153 , 0, 1169
154 , 0, 1289
155 , 0, 1307
156 , 1, 1188
157 , 1, 1175
158 , 1, 1160
159 , 1, 1175
160 , 1, 1161
161 , 0, 1247
162 , 0, 1201
163 , 0, 1292
164 , 0, 1173
165 , 0, 1237
166 , 0, 1326
167 , 0, 1111
168 , 0, 1165
169 , 0, 1308
170 , 0, 1177
171 , 0, 1299
172 , 0, 1211
173 , 0, 1131
174 , 0, 1303
175 , 0, 1147
176 , 0, 1110
177 , 0, 1102
178 , 0, 995
179 , 0, 1290
180 , 0, 1140
181 , 0, 1254
182 , 1, 1183
183 , 1, 1076
184 , 1, 1108
185 , 0, 1289
186 , 0, 1121
187 , 0, 1260
188 , 0, 1028
189 , 0, 1208
190 , 0, 1269
191 , 0, 1153
192 , 0, 1108
193 , 0, 1130
194 , 0, 1304
195 , 0, 1116
196 , 1, 1240
197 , 1, 1044
198 , 1, 1208
199 , 1, 1093
200 , 1, 1266
201 , 1, 1103
202 , 1, 1133
203 , 1, 1227
204 , 1, 1158
205 , 1, 1076
206 , 1, 1172
207 , 1, 1138
208 , 1, 1052
209 , 1, 1204
210 , 0, 1266
211 , 0, 1141
212 , 0, 1111
213 , 0, 1226
214 , 0, 1290
215 , 0, 947
216 , 0, 956
217 , 0, 1158
218 , 0, 1130
219 , 0, 1176
220 , 0, 1257
221 , 1, 1139
222 , 1, 1104
223 , 1, 1110
224 , 1, 1121
225 , 1, 1222
226 , 0, 1149
227 , 1, 1264
228 , 1, 1259
229 , 0, 1096
230 , 1, 1253
231 , 0, 1271
232 , 1, 1150
233 , 1, 1474
234 , 1, 1129
235 , 1, 1252
236 , 1, 1222
237 , 1, 1159
238 , 1, 1168
239 , 1, 1194
240 , 1, 1346
241 , 1, 1198
242 , 1, 1191
243 , 1, 1124
244 , 1, 1348
245 , 1, 1111
246 , 1, 1115
247 , 1, 1161
248 , 1, 1036
249 , 1, 1199
250 , 1, 1145
251 , 1, 1146
252 , 1, 1209
253 , 1, 1114
254 , 1, 1037
255 , 0, 1134
256 , 1, 1003
257 , 1, 1131
258 , 1, 1145
259 , 1, 1171
260 , 1, 1029
261 , 1, 1177
262 , 1, 1319
263 , 1, 1211
264 , 1, 1133
265 , 1, 1113
266 , 1, 1212
267 , 1, 1044
268 , 1, 1277
269 , 1, 1335
270 , 1, 1114
271 , 1, 1225
272 , 1, 1291
273 , 1, 1222
274 , 1, 1219
275 , 1, 1212
276 , 1, 1146
277 , 1, 1126
278 , 0, 1102
279 , 1, 1089
280 , 1, 1166
281 , 1, 1280
282 , 1, 1163
283 , 1, 1169
284 , 1, 1144
285 , 1, 1046
286 , 0, 1164
287 , 0, 1243
288 , 0, 1273
289 , 0, 1131
290 , 0, 1103
291 , 0, 1194
292 , 0, 1100
293 , 0, 1315
294 , 0, 1167
295 , 0, 1258
296 , 1, 1101
297 , 1, 1245
298 , 1, 1113
299 , 1, 1211
300 , 1, 1106
301 , 1, 1156
302 , 1, 1031
303 , 1, 1123
304 , 1, 1215
305 , 1, 1190
306 , 1, 1157
307 , 1, 1106
308 , 1, 1235
309 , 1, 1134
310 , 0, 1070
311 , 0, 1190
312 , 0, 1146
313 , 0, 1180
314 , 0, 1249
315 , 1, 1065
316 , 1, 1276
317 , 1, 1155
318 , 0, 1099
319 , 0, 1080
320 , 0, 1126
321 , 0, 1162
322 , 0, 1241
323 , 0, 1130
324 , 0, 1376
325 , 0, 1266
326 , 0, 1134
327 , 0, 1078
328 , 0, 1188
329 , 0, 1136
330 , 1, 1121
331 , 0, 1165
332 , 1, 1161
333 , 1, 1155
334 , 0, 1191
335 , 0, 1257
336 , 1, 1132
337 , 1, 1161
338 , 1, 1120
339 , 0, 1455
340 , 0, 1328
341 , 0, 1250
342 , 0, 1055
343 , 0, 1148
344 , 1, 1094
345 , 1, 1176
346 , 1, 1201
347 , 1, 1156
348 , 1, 1131
349 , 0, 1124
350 , 0, 1224
351 , 0, 920
352 , 0, 1263
353 , 0, 1045
354 , 0, 927
355 , 0, 1242
356 , 0, 1267
357 , 0, 1128
358 , 1, 1079
359 , 0, 1219
360 , 0, 1147
361 , 0, 921
362 , 0, 1328
363 , 0, 960
364 , 0, 953
365 , 0, 1115
366 , 1, 1204
367 , 0, 1243
368 , 1, 1183
369 , 1, 1338
370 , 1, 1160
371 , 1, 997
372 , 0, 1178
373 , 0, 1111
374 , 0, 990
375 , 0, 1176
376 , 0, 1245
377 , 0, 964
378 , 1, 1209
379 , 1, 1148
380 , 1, 1189
381 , 1, 1164
382 , 1, 1194
383 , 1, 1245
384 , 1, 1109
385 , 1, 1125
386 , 1, 1013
387 , 1, 1003
388 , 1, 1156
389 , 1, 1153
390 , 1, 1292
391 , 1, 1187
392 , 1, 1215
393 , 1, 1145
394 , 1, 1192
395 , 0, 1084
396 , 0, 1220
397 , 0, 1190
398 , 0, 1199
399 , 1, 1088
400 , 1, 1093
401 , 1, 1210
402 , 0, 1134
403 , 1, 1162
404 , 0, 1144
405 , 0, 1186
406 , 0, 1151
407 , 0, 1052
408 , 0, 1078
409 , 0, 1179
410 , 0, 1277
411 , 0, 1237
412 , 1, 1185
413 , 1, 1133
414 , 1, 1194
415 , 1, 1167
416 , 1, 1173
417 , 0, 1215
418 , 0, 1068
419 , 0, 1197
420 , 0, 1135
421 , 1, 1071
422 , 1, 1087
423 , 1, 1174
424 , 1, 1091
425 , 1, 1172
426 , 1, 1158
427 , 1, 1188
428 , 1, 1074
429 , 1, 1044
430 , 0, 1094
431 , 0, 1184
432 , 0, 1240
433 , 0, 1214
434 , 0, 1094
435 , 0, 1251
436 , 1, 1218
437 , 1, 1151
438 , 1, 1284
439 , 1, 1063
440 , 1, 1139
441 , 1, 1129
442 , 1, 1096
443 , 1, 1127
444 , 1, 1059
445 , 0, 1240
446 , 0, 1201
447 , 0, 1194
448 , 0, 1222
449 , 1, 1134
450 , 1, 1072
451 , 1, 1282
452 , 0, 1225
453 , 0, 1158
454 , 0, 1187
455 , 0, 1317
456 , 0, 1092
457 , 0, 1111
458 , 1, 1141
459 , 1, 1117
460 , 1, 1200
461 , 1, 1341
462 , 0, 1151
463 , 0, 1163
464 , 0, 1124
465 , 0, 1040
466 , 1, 1013
467 , 1, 1166
468 , 1, 1486
469 , 1, 1275
470 , 1, 1169
471 , 1, 1193
472 , 1, 1273
473 , 1, 1211
474 , 1, 1250
475 , 1, 1192
476 , 1, 1078
477 , 1, 1304
478 , 1, 1183
479 , 1, 1086
480 , 1, 1188
481 , 1, 1135
482 , 1, 1136
483 , 1, 1231
484 , 1, 1120
485 , 1, 1150
486 , 1, 1087
487 , 1, 1151
488 , 1, 1195
489 , 0, 1185
490 , 1, 1195
491 , 1, 1302
492 , 1, 1178
493 , 1, 1338
494 , 1, 1183
495 , 1, 1197
496 , 1, 1169
497 , 1, 1032
498 , 1, 1099
499 , 1, 1288
500 , 1, 1190
501 , 1, 1089
502 , 1, 1123
503 , 1, 1315
504 , 1, 1195
505 , 1, 1136
506 , 1, 1315
507 , 1, 1245
508 , 1, 1181
509 , 1, 1260
510 , 1, 1136
511 , 1, 1257
512 , 1, 1170
513 , 0, 1224
514 , 1, 1108
515 , 1, 1350
516 , 1, 1076
517 , 1, 1120
518 , 1, 1132
519 , 1, 1239
520 , 1, 1065
521 , 1, 1258
522 , 1, 1121
523 , 1, 1189
524 , 1, 1140
525 , 1, 1216
526 , 1, 1133
527 , 1, 1079
528 , 1, 1109
529 , 1, 1200
530 , 1, 1115
531 , 1, 1075
532 , 0, 1195
533 , 0, 1155
534 , 0, 1174
535 , 0, 1239
536 , 0, 1262
537 , 0, 1163
538 , 0, 1291
539 , 1, 1199
540 , 1, 1151
541 , 1, 1293
542 , 1, 1119
543 , 1, 1191
544 , 1, 1179
545 , 1, 1102
546 , 1, 1206
547 , 1, 1047
548 , 1, 1123
549 , 1, 979
550 , 1, 1242
551 , 1, 1251
552 , 1, 1184
553 , 1, 1141
554 , 1, 1064
555 , 1, 1172
556 , 1, 1219
557 , 1, 1266
558 , 0, 1203
559 , 1, 1161
560 , 1, 1280
561 , 1, 1150
562 , 1, 1176
563 , 1, 1128
564 , 1, 1222
565 , 1, 1243
566 , 1, 1136
567 , 1, 1093
568 , 0, 1218
569 , 0, 1084
570 , 0, 1331
571 , 1, 1117
572 , 1, 1126
573 , 1, 1314
574 , 1, 1236
575 , 0, 1197
576 , 0, 1105
577 , 0, 1202
578 , 1, 1080
579 , 0, 1163
580 , 1, 1087
581 , 1, 1283
582 , 1, 1128
583 , 1, 1281
584 , 1, 1166
585 , 1, 1258
586 , 0, 1119
587 , 0, 1156
588 , 0, 1109
589 , 1, 1301
590 , 1, 1197
591 , 1, 1159
592 , 1, 1164
593 , 1, 1177
594 , 1, 1088
595 , 1, 1053
596 , 1, 1273
597 , 1, 1443
598 , 1, 1224
599 , 1, 1165
600 , 1, 1189
601 , 1, 1180
602 , 1, 1063
603 , 1, 1145
604 , 1, 1177
605 , 1, 1094
606 , 1, 1301
607 , 0, 1356
608 , 0, 1210
609 , 0, 1175
610 , 0, 1242
611 , 0, 1326
612 , 0, 1180
613 , 1, 1117
614 , 0, 1119
615 , 0, 1248
616 , 0, 1095
617 , 0, 1158
618 , 0, 1168
619 , 1, 1057
620 , 1, 1184
