=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.13 14:06:49 =~=~=~=~=~=~=~=~=~=~=~=
self test ok
3://V1_621.MPG
3://V1_300.MPG
3://V1_1730.MPG
Decoding 3://V1_621.MPG to VDMA
Decoder start. Num frames #621
Width 1280
Height 720
Num i frames 230
Payload Size 113133240
I frame index 0, position 20
I frame index 375, position 68493128
I frame index 376, position 68676944
I frame index 377, position 68857568
I frame index 395, position 72042636
I frame index 396, position 72242268
I frame index 397, position 72443448
I frame index 398, position 72644208
I frame index 402, position 73438464
I frame index 404, position 73829244
I frame index 405, position 74024060
I frame index 406, position 74215796
I frame index 407, position 74405376
I frame index 408, position 74596712
I frame index 409, position 74784576
I frame index 410, position 74975008
I frame index 411, position 75162456
I frame index 417, position 76303520
I frame index 418, position 76500024
I frame index 419, position 76689728
I frame index 420, position 76879444
I frame index 430, position 78651880
I frame index 431, position 78851428
I frame index 432, position 79046532
I frame index 433, position 79242364
I frame index 434, position 79439112
I frame index 435, position 79640072
I frame index 445, position 81569240
I frame index 446, position 81777648
I frame index 447, position 81987008
I frame index 448, position 82192872
I frame index 452, position 82990468
I frame index 453, position 83195720
I frame index 454, position 83398632
I frame index 455, position 83603236
I frame index 456, position 83803148
I frame index 457, position 84005180
I frame index 462, position 84902704
I frame index 463, position 85104392
I frame index 464, position 85298268
I frame index 465, position 85494680
I frame index 489, position 89310332
I frame index 513, position 93213224
I frame index 532, position 96492388
I frame index 533, position 96689444
I frame index 534, position 96879008
I frame index 535, position 97068576
I frame index 536, position 97257148
I frame index 537, position 97446592
I frame index 538, position 97633204
I frame index 558, position 101112080
I frame index 568, position 102923808
I frame index 569, position 103124564
I frame index 570, position 103322472
I frame index 575, position 104200676
I frame index 576, position 104400552
I frame index 577, position 104601244
I frame index 579, position 105004884
I frame index 586, position 106351744
I frame index 587, position 106559312
I frame index 588, position 106763528
I frame index 607, position 110275092
I frame index 608, position 110475480
I frame index 609, position 110670776
I frame index 610, position 110867720
I frame index 611, position 111065012
I frame index 612, position 111264520
I frame index 614, position 111661904
I frame index 615, position 111866088
I frame index 616, position 112072768
I frame index 617, position 112281280
I frame index 618, position 112492648
0 , 0, 2969443
button 1 has been pressed!
Video Play
1 , 1, 2867400
2 , 1, 2867427
3 , 1, 2866981
4 , 1, 2867303
5 , 1, 2867301
6 , 0, 2993850
7 , 0, 2992210
8 , 0, 2993563
9 , 0, 2992879
10 , 0, 2994218
11 , 0, 2993548
12 , 0, 2993254
13 , 1, 2866974
14 , 1, 2866907
15 , 1, 2866708
16 , 0, 2989857
17 , 0, 2990830
18 , 0, 2993023
19 , 0, 2994660
20 , 0, 2990740
21 , 0, 2994269
22 , 0, 2992740
23 , 1, 2866291
24 , 1, 2866433
25 , 1, 2866551
26 , 1, 2866342
27 , 1, 2865462
28 , 1, 2866167
29 , 1, 2866859
30 , 1, 2866629
31 , 1, 2866666
32 , 1, 2866558
33 , 1, 2867105
34 , 1, 2866712
35 , 1, 2866664
36 , 1, 2866923
37 , 1, 2866852
38 , 1, 2866699
39 , 1, 2866311
40 , 1, 2866572
41 , 1, 2867052
42 , 1, 2867185
43 , 1, 2866538
44 , 0, 2991920
45 , 0, 2995343
46 , 0, 2992250
47 , 0, 2993335
48 , 1, 2866477
49 , 1, 2866684
50 , 1, 2866390
51 , 1, 2867348
52 , 1, 2866567
53 , 1, 2867083
54 , 1, 2866677
55 , 1, 2866836
56 , 1, 2867427
57 , 0, 2991738
58 , 1, 2866840
59 , 1, 2866464
60 , 1, 2866736
61 , 1, 2867665
62 , 1, 2867212
63 , 1, 2867438
64 , 1, 2867118
65 , 1, 2867222
66 , 1, 2867170
67 , 1, 2866243
68 , 1, 2866818
69 , 1, 2866453
70 , 1, 2867151
71 , 1, 2867260
72 , 1, 2867098
73 , 1, 2866745
74 , 1, 2867158
75 , 1, 2866885
76 , 0, 2991809
77 , 0, 2994494
78 , 0, 2995324
79 , 0, 2993818
80 , 0, 2990139
81 , 1, 2866357
82 , 1, 2866247
83 , 1, 2866601
84 , 1, 2866580
85 , 1, 2866583
86 , 1, 2866512
87 , 1, 2866365
88 , 1, 2866705
89 , 1, 2866539
90 , 1, 2866381
91 , 1, 2866587
92 , 1, 2866298
93 , 1, 2866667
94 , 0, 2992626
95 , 0, 2991968
96 , 0, 2992610
97 , 0, 2992428
98 , 0, 2993833
99 , 1, 2866582
100 , 1, 2866335
101 , 1, 2866575
102 , 1, 2866309
103 , 1, 2866388
104 , 1, 2866905
105 , 1, 2866667
106 , 1, 2866697
107 , 1, 2866394
108 , 1, 2866315
109 , 1, 2866840
110 , 1, 2866670
111 , 1, 2866491
112 , 1, 2867036
113 , 1, 2866612
114 , 1, 2866553
115 , 1, 2866736
116 , 1, 2866652
117 , 1, 2866194
118 , 1, 2866482
119 , 1, 2866313
120 , 1, 2866688
121 , 1, 2866770
122 , 0, 2991777
123 , 0, 2994867
124 , 0, 2994090
125 , 0, 2992681
126 , 1, 2866820
127 , 1, 2866524
128 , 1, 2866883
129 , 1, 2866577
130 , 0, 2991422
131 , 0, 2991556
132 , 0, 2992546
133 , 1, 2866551
134 , 1, 2866576
135 , 1, 2866576
136 , 1, 2866558
137 , 0, 2992833
138 , 0, 2975045
139 , 0, 2972266
140 , 0, 2979321
141 , 0, 2989071
142 , 0, 2975914
143 , 0, 2993099
144 , 0, 2991135
145 , 0, 2986716
146 , 0, 2990669
147 , 0, 2994872
148 , 0, 2991697
149 , 0, 2985649
150 , 0, 2977266
151 , 0, 2996120
152 , 0, 2973462
153 , 0, 2992086
154 , 0, 2991067
155 , 0, 2992844
156 , 1, 2865740
157 , 1, 2865794
158 , 1, 2866051
159 , 1, 2865578
160 , 1, 2865982
161 , 0, 2993084
162 , 0, 2988839
163 , 0, 2993104
164 , 0, 2967657
165 , 0, 2964753
166 , 0, 2993287
167 , 0, 2987989
168 , 0, 2993170
169 , 0, 2993111
170 , 0, 2995194
171 , 0, 2996610
172 , 0, 2991574
173 , 0, 2990759
174 , 0, 2994073
175 , 0, 2994458
176 , 0, 2991174
177 , 0, 2993135
178 , 0, 2990528
179 , 0, 2993848
180 , 0, 2993269
181 , 0, 2990385
182 , 1, 2866915
183 , 1, 2866909
184 , 1, 2867385
185 , 0, 2994826
186 , 0, 2991622
187 , 0, 2992919
188 , 0, 2994360
189 , 0, 2993774
190 , 0, 2993469
191 , 0, 2993813
192 , 0, 2992961
193 , 0, 2994271
194 , 0, 2995361
195 , 0, 2994019
196 , 1, 2866905
197 , 1, 2866762
198 , 1, 2867014
199 , 1, 2867381
200 , 1, 2867066
201 , 1, 2867429
202 , 1, 2867308
203 , 1, 2866688
204 , 1, 2867778
205 , 1, 2867465
206 , 1, 2867044
207 , 1, 2866404
208 , 1, 2866919
209 , 1, 2866983
210 , 0, 2993719
211 , 0, 2994376
212 , 0, 2994985
213 , 0, 2996103
214 , 0, 2994967
215 , 0, 2993392
216 , 0, 2998506
217 , 0, 2994323
218 , 0, 2992665
219 , 0, 2996909
220 , 0, 2996173
221 , 1, 2866617
222 , 1, 2867026
223 , 1, 2867234
224 , 1, 2867163
225 , 1, 2867014
226 , 0, 2991929
227 , 1, 2867002
228 , 1, 2867052
229 , 0, 2990951
230 , 1, 2866960
231 , 0, 2990878
232 , 1, 2866731
233 , 1, 2866791
234 , 1, 2866791
235 , 1, 2867205
236 , 1, 2867054
237 , 1, 2867358
238 , 1, 2867135
239 , 1, 2867687
240 , 1, 2866384
241 , 1, 2867125
242 , 1, 2866630
243 , 1, 2866823
244 , 1, 2867144
245 , 1, 2867626
246 , 1, 2866995
247 , 1, 2867257
248 , 1, 2866644
249 , 1, 2866387
250 , 1, 2866811
251 , 1, 2867256
252 , 1, 2866945
253 , 1, 2866943
254 , 1, 2867460
255 , 0, 2992574
256 , 1, 2866747
257 , 1, 2866866
258 , 1, 2866937
259 , 1, 2867410
260 , 1, 2867618
261 , 1, 2867373
262 , 1, 2867321
263 , 1, 2867359
264 , 1, 2866787
265 , 1, 2867594
266 , 1, 2866993
267 , 1, 2867670
268 , 1, 2867230
269 , 1, 2867433
270 , 1, 2866821
271 , 1, 2866956
272 , 1, 2868446
273 , 1, 2867347
274 , 1, 2867451
275 , 1, 2866950
276 , 1, 2867436
277 , 1, 2867402
278 , 0, 2993135
279 , 1, 2866615
280 , 1, 2868381
281 , 1, 2867500
282 , 1, 2867396
283 , 1, 2867548
284 , 1, 2867778
285 , 1, 2867094
286 , 0, 2993078
287 , 0, 2992244
288 , 0, 2992677
289 , 0, 2992364
290 , 0, 2992149
291 , 0, 2994130
292 , 0, 2994250
293 , 0, 2994379
294 , 0, 2992818
295 , 0, 2992319
296 , 1, 2866849
297 , 1, 2866613
298 , 1, 2866608
299 , 1, 2866576
300 , 1, 2866931
301 , 1, 2866749
302 , 1, 2866710
303 , 1, 2867393
304 , 1, 2866531
305 , 1, 2867097
306 , 1, 2866620
307 , 1, 2866874
308 , 1, 2866446
309 , 1, 2866902
310 , 0, 2994167
311 , 0, 2992860
312 , 0, 2992282
313 , 0, 2991704
314 , 0, 2991979
315 , 1, 2866482
316 , 1, 2866707
317 , 1, 2866808
318 , 0, 2994522
319 , 0, 2994082
320 , 0, 2992936
321 , 0, 2991110
322 , 0, 2994069
323 , 0, 2992170
324 , 0, 2990380
325 , 0, 2992065
326 , 0, 2990928
327 , 0, 2991875
328 , 0, 2990329
329 , 0, 2991036
330 , 1, 2866581
331 , 0, 2991747
332 , 1, 2866757
333 , 1, 2866795
334 , 0, 2992436
335 , 0, 2991221
336 , 1, 2866949
337 , 1, 2866616
338 , 1, 2867488
339 , 0, 2991901
340 , 0, 2992079
341 , 0, 2991940
342 , 0, 2993829
343 , 0, 2993473
344 , 1, 2866959
345 , 1, 2866896
346 , 1, 2866605
347 , 1, 2866946
348 , 1, 2866958
349 , 0, 2994679
350 , 0, 2992337
351 , 0, 2994036
352 , 0, 2990912
353 , 0, 2994194
354 , 0, 2997313
355 , 0, 2992412
356 , 0, 2996174
357 , 0, 2993662
358 , 1, 2866344
359 , 0, 2994382
360 , 0, 2994716
361 , 0, 2993161
362 , 0, 2992358
363 , 0, 2995203
364 , 0, 2992570
365 , 0, 2990307
366 , 1, 2867159
367 , 0, 2993869
368 , 1, 2866767
369 , 1, 2866978
370 , 1, 2866798
371 , 1, 2866490
372 , 0, 2992657
373 , 0, 2992920
374 , 0, 2992043
375 , 0, 2995577
376 , 0, 2992444
377 , 0, 2993969
378 , 1, 2866440
379 , 1, 2866726
380 , 1, 2866796
381 , 1, 2866650
382 , 1, 2866945
383 , 1, 2866765
384 , 1, 2866602
385 , 1, 2866601
386 , 1, 2866658
387 , 1, 2866924
388 , 1, 2866972
389 , 1, 2866298
390 , 1, 2866552
391 , 1, 2867219
392 , 1, 2867093
393 , 1, 2867197
394 , 1, 2866755
395 , 0, 2993256
396 , 0, 2993788
397 , 0, 2990339
398 , 0, 2993752
399 , 1, 2867377
400 , 1, 2867148
401 , 1, 2867180
402 , 0, 2997211
403 , 1, 2867100
404 , 0, 2993302
405 , 0, 2991471
406 , 0, 2993673
407 , 0, 2992005
408 , 0, 2995217
409 , 0, 2992422
410 , 0, 2991884
411 , 0, 2996082
412 , 1, 2866809
413 , 1, 2867381
414 , 1, 2867171
415 , 1, 2866662
416 , 1, 2866937
417 , 0, 2992264
418 , 0, 2994789
419 , 0, 2994247
420 , 0, 2995930
421 , 1, 2866803
422 , 1, 2866916
423 , 1, 2867067
424 , 1, 2866920
425 , 1, 2867342
426 , 1, 2866766
427 , 1, 2867033
428 , 1, 2867857
429 , 1, 2867970
430 , 0, 2992730
431 , 0, 2990592
432 , 0, 2990928
433 , 0, 2993143
434 , 0, 2994456
435 , 0, 2993604
436 , 1, 2866876
437 , 1, 2867101
438 , 1, 2867433
439 , 1, 2867428
440 , 1, 2867009
441 , 1, 2867494
442 , 1, 2866999
443 , 1, 2867451
444 , 1, 2867572
445 , 0, 2993765
446 , 0, 2992875
447 , 0, 2991393
448 , 0, 2998284
449 , 1, 2866594
450 , 1, 2866800
451 , 1, 2867052
452 , 0, 2993599
453 , 0, 2990914
454 , 0, 2995328
455 , 0, 2994214
456 , 0, 2991722
457 , 0, 2993714
458 , 1, 2866525
459 , 1, 2867002
460 , 1, 2866462
461 , 1, 2867611
462 , 0, 2994809
463 , 0, 2995802
464 , 0, 2995927
465 , 0, 2991932
466 , 1, 2867041
467 , 1, 2867164
468 , 1, 2866817
469 , 1, 2866618
470 , 1, 2867158
471 , 1, 2866643
472 , 1, 2866861
473 , 1, 2867524
474 , 1, 2867440
475 , 1, 2866877
476 , 1, 2867189
477 , 1, 2866831
478 , 1, 2867101
479 , 1, 2867080
480 , 1, 2866289
481 , 1, 2867345
482 , 1, 2867588
483 , 1, 2866312
484 , 1, 2866045
485 , 1, 2867043
486 , 1, 2866754
487 , 1, 2866339
488 , 1, 2866944
489 , 0, 2990463
490 , 1, 2866806
491 , 1, 2866931
492 , 1, 2866282
493 , 1, 2867530
494 , 1, 2866612
495 , 1, 2866836
496 , 1, 2866406
497 , 1, 2866855
498 , 1, 2867335
499 , 1, 2866945
500 , 1, 2866470
501 , 1, 2867059
502 , 1, 2867435
503 , 1, 2866697
504 , 1, 2867533
505 , 1, 2867226
506 , 1, 2867404
507 , 1, 2867685
508 , 1, 2867436
509 , 1, 2867216
510 , 1, 2866899
511 , 1, 2867336
512 , 1, 2866962
513 , 0, 2990885
514 , 1, 2867347
515 , 1, 2867832
516 , 1, 2867415
517 , 1, 2867400
518 , 1, 2866794
519 , 1, 2866901
520 , 1, 2866980
521 , 1, 2867402
522 , 1, 2866991
523 , 1, 2866867
524 , 1, 2866734
525 , 1, 2867104
526 , 1, 2867025
527 , 1, 2866399
528 , 1, 2866070
529 , 1, 2866975
530 , 1, 2867421
531 , 1, 2866938
532 , 0, 2994306
533 , 0, 2993581
534 , 0, 2993017
535 , 0, 2991386
536 , 0, 2994235
537 , 0, 2989437
538 , 0, 2993025
539 , 1, 2866732
540 , 1, 2866952
541 , 1, 2866785
542 , 1, 2867411
543 , 1, 2866563
544 , 1, 2866918
545 , 1, 2867059
546 , 1, 2866786
547 , 1, 2867349
548 , 1, 2867001
549 , 1, 2866854
550 , 1, 2866952
551 , 1, 2867486
552 , 1, 2866785
553 , 1, 2867126
554 , 1, 2866752
555 , 1, 2867200
556 , 1, 2867432
557 , 1, 2867409
558 , 0, 2996508
559 , 1, 2866913
560 , 1, 2866606
561 , 1, 2867197
562 , 1, 2867270
563 , 1, 2866782
564 , 1, 2866955
565 , 1, 2867143
566 , 1, 2866989
567 , 1, 2867466
568 , 0, 2995415
569 , 0, 2993385
570 , 0, 2990499
571 , 1, 2866867
572 , 1, 2868100
573 , 1, 2866774
574 , 1, 2866980
575 , 0, 2994499
576 , 0, 2992958
577 , 0, 2993604
578 , 1, 2866802
579 , 0, 2990884
580 , 1, 2867669
581 , 1, 2867110
582 , 1, 2867747
583 , 1, 2867500
584 , 1, 2867892
585 , 1, 2867553
586 , 0, 2992354
587 , 0, 2993000
588 , 0, 2996367
589 , 1, 2867018
590 , 1, 2866952
591 , 1, 2866761
592 , 1, 2867574
593 , 1, 2867253
594 , 1, 2866773
595 , 1, 2867461
596 , 1, 2866846
597 , 1, 2867688
598 , 1, 2866978
599 , 1, 2867017
600 , 1, 2867315
601 , 1, 2866955
602 , 1, 2866697
603 , 1, 2867224
604 , 1, 2867686
605 , 1, 2867881
606 , 1, 2867388
607 , 0, 2990730
608 , 0, 2994712
609 , 0, 2992210
610 , 0, 2995837
611 , 0, 2994173
612 , 0, 2994069
613 , 1, 2866797
614 , 0, 2991305
615 , 0, 2993806
616 , 0, 2992508
617 , 0, 2993812
618 , 0, 2992725
619 , 1, 2866239
620 , 1, 2866796
